Index,feature name
1156,CSDE1
1157,SIKE1
1158,TSPAN2
1159,RP4-666F24.3
1160,RP4-663N10.1
1161,NGF
1162,VANGL1
1163,CASQ2
1164,NHLH2
1165,SLC22A15
1166,MAB21L3
1167,RP5-1185H19.2
1168,ATP1A1
1169,AL136376.1
1170,RP5-1086K13.1
1171,CD58
1172,IGSF3
1173,CD2
1174,RP4-753F5.1
1175,PTGFRN
1176,CD101
1177,RP11-27K13.3
1178,TTF2
1179,TRIM45
1180,RP11-188D8.1
1181,MAN1A2
1182,FAM46C
1183,GDAP2
1184,WDR3
1185,SPAG17
1186,TBX15
1187,RP4-712E4.1
1188,RP4-712E4.2
1189,WARS2
1190,WARS2-IT1
1191,RP11-418J17.1
1192,RP5-834N19.1
1193,HAO2
1194,ZNF697
1195,PHGDH
1196,HMGCS2
1197,NOTCH2
1198,RP11-439A17.7
1199,FAM72B
1200,RP11-439A17.9
1201,FCGR1B
1202,RP11-343N15.5
1203,AL592494.5
1204,RP11-344P13.6
1205,RP11-417J8.3
1206,RP11-417J8.6
1207,RP11-423O2.5
1208,RP11-782C8.2
1209,RP11-782C8.1
1210,RP11-782C8.3
1211,RP11-782C8.5
1212,RP11-435B5.3
1213,RP11-435B5.4
1214,RP11-435B5.5
1215,RP6-206I17.1
1216,RP6-206I17.2
1217,RP6-206I17.3
1218,PPIAL4G
1219,FAM72D
1220,LINC00623
1221,AL592284.1
1222,PPIAL4B
1223,RP11-640M9.1
1224,NBPF9
1225,RP4-791M13.3
1226,PDE4DIP
1227,AL590452.1
1228,RP11-326G21.1
1229,RP11-458D21.6
1230,NOTCH2NL
1231,NBPF10
1232,RP11-458D21.1
1233,TXNIP
1234,POLR3GL
1235,ANKRD34A
1236,RP11-315I20.1
1237,LIX1L
1238,RBM8A
1239,PEX11B
1240,ITGA10
1241,ANKRD35
1242,PIAS3
1243,NUDT17
1244,POLR3C
1245,RNF115
1246,CD160
1247,PDZK1
1248,GPR89A
1249,GPR89C
1250,NBPF11
1251,NBPF12
1252,PRKAB2
1253,RP11-337C18.8
1254,FMO5
1255,CHD1L
1256,BCL9
1257,ACP6
1258,GJA5
1259,GPR89B
1260,XXyac-YX155B6.7
1261,NBPF24
1262,XXyac-YX155B6.5
1263,XXyac-YX155B6.6
1264,RP11-495P10.3
1265,NBPF14
1266,PPIAL4D
1267,RP11-89F3.2
1268,NBPF20
1269,NBPF15
1270,RP11-666A1.5
1271,NBPF16
1272,RP11-763B22.4
1273,RP11-14N7.2
1274,RP11-403I13.5
1275,RP11-403I13.4
1276,RP11-403I13.8
1277,RP5-998N21.4
1278,FAM72C
1279,RP11-277L2.4
1280,RP11-277L2.3
1281,RP11-277L2.5
1282,RP11-353N4.1
1283,RP11-353N4.5
1284,RP11-353N4.4
1285,FCGR1A
1286,HIST2H2BF
1287,RP11-196G18.23
1288,HIST2H2AA3
1289,RP11-196G18.24
1290,HIST2H2BE
1291,HIST2H2AC
1292,HIST2H2AB
1293,BOLA1
1294,SV2A
1295,SF3B4
1296,MTMR11
1297,OTUD7B
1298,VPS45
1299,PLEKHO1
1300,ANP32E
1301,RP4-790G17.7
1302,CA14
1303,APH1A
1304,C1orf54
1305,C1orf51
1306,MRPS21
1307,PRPF3
1308,RPRD2
1309,TARS2
1310,ECM1
1311,LINC00568
1312,RP11-54A4.2
1313,ADAMTSL4
1314,ADAMTSL4-AS1
1315,MCL1
1316,ENSA
1317,GOLPH3L
1318,HORMAD1
1319,CTSS
1320,CTSK
1321,ARNT
1322,SETDB1
1323,CERS2
